rank,symbol,allTimeHigh,priceDropSinceATH,volume24
260,SXP,579,-92.6,2217M
261,PEOPLE,19,-73.44,35462M
263,ORAI,10576,-84.77,835M
264,BDX,45,-91.04,236M
265,WBETH,361969,-3.24,723M
266,CQT,208,-81.17,404M
267,SGB,71,-97.63,135M
268,ACS,27,-87.83,402M
269,OMI,13,-93.26,116M
270,TET,4503,-25.81,276M
271,ALPH,386,-12.95,361M
272,0X0,30,-10.28,358M
273,ORCA,2033,-76.49,700M
274,DAO,871,-88.21,337M
275,PANDORA,3249400,-26.69,1735M
276,BIGTIME,98,-51.43,8300M
277,SSV,4952,-32.86,2946M
278,AI,194,-6.7,12748M
279,EDU,167,-46.34,1223M
280,MOG,66,-11.19,1914M
281,OAS,14,-13.29,173M
282,LSK,3492,-95.59,1169M
283,RIF,46,-51.21,722M
284,GNS,1248,-47.76,939M
285,MOVR,49426,-94.98,2432M
286,POLYX,49,-56.82,1651M
287,OM,86,-68.78,1384M
288,IOST,13,-91.11,1936M
289,TLOS,143,-63.17,222M
290,BONE,1550,-94.59,2955M
291,NMR,9315,-63.83,2597M
292,STRAX,2277,-94.16,1373M
293,SYN,492,-77.64,1807M
294,YGG,1117,-93.82,7692M
295,SPELL,35,-95.76,24262M
296,BTC.B,6390100,-3,1639M
298,LCX,56,-54.34,582M
299,JOE,509,-88.32,1257M
300,POND,32,-92.23,443M
301,GF,406,-90.46,364M
302,OHM,141526,-99.12,262M
303,VVS,33,-98.63,380M
304,MYRIA,17,-25.76,729M
305,USDP,113,-11.71,803M
306,XVS,14682,-91.2,809M
307,RSR,12,-96.6,2501M
309,ULTIMA,2050600,-59.07,411M
310,PROM,10594,-89.66,1127M
311,XNO,3369,-95.58,486M
313,LYX,1160,-43.97,164M
314,POWR,189,-80,1500M
315,SLP,40,-98.83,2788M
316,AUCTION,7044,-58.3,2470M
317,VANRY,13,3.15,8884M
318,COQ,40,-31.16,2557M
319,ORBS,36,-87.73,804M
320,DENT,10,-98.05,2453M
321,CTC,867,-93.19,1435M
322,SNT,68,-93.11,577M
323,DAG,45,-86.38,174M
324,PYR,4924,-84.46,1632M
325,AGRS,3886,-73.42,225M
327,MAV,77,-5.89,2582M
328,HOOK,407,-67.81,1623M
329,CUDOS,13,-79.75,112M
331,ZEN,16592,-92.82,1447M
332,ABT,239,-25.52,471M
334,AGI,38,-27.66,1381M
335,FLIP,882,-9.52,984M
337,$WEN,18,-5.25,1329M
338,ARK,1022,-90.62,1116M
339,SCRT,1038,-93.9,468M
340,NYM,576,-95.84,231M
341,HT,3966,-97.3,1541M
342,MAVIA,1059,-46.65,4345M
343,ALICE,4093,-95.33,2558M
344,HFT,361,-87.14,5744M
345,RDNT,59,-37.16,3680M
346,CELR,19,-85.02,1380M
349,HIVE,341,-88.65,241M
351,SHDW,282,-64.11,149M
353,LQTY,14694,-98.85,2185M
354,CRVUSD,103,-3.74,2395M
355,COMAI,436,-42.89,143M
356,CROWN,198,-24.24,292M
357,$MYRO,26,-38.67,7811M
358,WIN,29,-94.37,3046M
359,BLZ,78,-53.29,919M
360,RSS3,69,-64.46,1226M
362,TRIAS,3170,-51.42,636M
363,NAKA,671,-64.68,2162M
364,TEL,64,-96.95,107M
365,DUSK,109,-69.09,1486M
366,MVL,70,-91.17,7160M
367,HONEY,38,-52.82,256M
369,ONG,439,-90.83,643M
370,DKA,70,-94.08,1916M
371,IQ,72,-88.58,1749M
372,STG,414,-82.65,4648M
373,SDEX,21,-3.2,502M
375,DODO,838,-97.17,2557M
376,MUBI,37,-58.93,2617M
377,CGPT,41,-7.77,1372M
378,ELON,26,-89.83,1970M
379,ACH,20,-85.43,3581M
380,DORA,21,-31.62,124M
381,OX,81,-78.88,408M
382,ALPHA,293,-94.39,1171M
383,SYS,130,-85.75,470M
385,OPSEC,184,-17.93,605M
386,LUSD,116,-14.29,504M
387,NOIA,89,-79.91,209M
388,ALI,20,-80.09,325M
390,OMG,2562,-96.16,7752M
391,GMT,53,-39.19,255M
392,CTXC,239,-74.08,722M
393,PUNDIX,1007,-94.81,648M
395,LOOM,49,-77.69,1068M
396,MLK,359,-89.29,206M
397,BAKE,838,-94.54,6391M
399,KNC,570,-86.62,1853M
400,STEEM,819,-96.53,970M
401,STPT,27,-75.4,469M
403,WRX,588,-95.22,582M
404,SNEK,23,-24.84,419M
405,SAUCE,23,-10.44,492M
406,WMT,98,-76.58,281M
408,MED,35,-95.8,1378M
409,AGLD,770,-79.22,1338M
410,AURORA,3540,-99.19,188M
412,MTL,1703,-89.08,966M
416,EWT,2267,-89.33,123M
417,GTC,2237,-91.33,2665M
418,BNT,1072,-91.78,1158M
421,MPL,6820,-78.36,235M
422,SHRAP,44,-39.01,302M
424,PORK,92,-62.14,1170M
425,SUN,6645,-99.98,4291M
426,ZIG,22,-64.16,1156M
427,STORJ,381,-79.03,5836M
428,BADGER,8908,-93.63,12247M
429,ACA,279,-95.78,1300M
432,BITCOIN,20,-41.39,898M
433,CYBER,1579,-35.15,6019M
434,XYO,81,-90,239M
435,TON,3051,-91.71,2117M
436,CTK,394,-78.36,351M
437,TRAC,788,-32.23,144M
439,TBTC,14611700,-57.55,204M
440,MBOX,1544,-97.33,2685M
441,NKN,144,-89.94,961M
442,PHA,139,-87.5,1709M
443,AMPL,407,-67.32,249M
444,ARDR,204,-94.56,398M
445,ATLAS,27,-97.26,389M
446,UQC,4138,-73.32,414M
447,RAD,2761,-92,1795M
448,XPLA,140,-83.28,149M
450,STMX,17,-94.04,1877M
452,APEX,284,-17.61,4101M
453,VRA,86,-88.01,3543M
454,OGN,335,-93.73,2822M
455,GODS,880,-95.71,152M
456,POLS,751,-85.87,400M
457,ORDS,28,-27.63,1877M
459,CEL,805,-96.95,116M
460,LADYS,17,-33.14,1431M
461,LOOKS,710,-98.55,1670M
462,CVC,135,-90.53,1260M
463,PERP,2440,-94.22,1830M
464,TOMI,659,-84.34,2607M
465,RARE,364,-95.7,806M
467,XVG,26,-97.69,1556M
468,MBL,45,-87.3,2470M
473,UOS,249,-89.25,237M
474,HPO,99,-90.12,1605M
475,MBX,2074,-95.66,193M
476,DIMO,79,-39.64,160M
477,CANTO,76,-77.93,608M
478,QI,39,-94.48,900M
481,NXRA,19,-35.53,172M
482,TLM,74,-96.79,3024M
486,NEON,391,-57.8,997M
487,REQ,106,-88.34,476M
488,BOBA,793,-96.08,670M
492,RACA,12,-97.79,3878M
493,ARC,12,-18.96,367M
494,TOSHI,23,-6.21,193M
499,ATOR,219,-43.38,238M
500,PHB,250,-24.4,2372M
501,MKUSD,103,-4.41,192M
505,DFI,561,-98.16,473M
506,HUNT,146,-69.5,1856M
507,PAID,604,-94.83,123M
508,BRISE,18,-87.91,424M
509,HIFI,263,-71.6,1599M
511,REN,180,-95.14,1805M
512,SWEAT,91,-87.74,882M
513,LAT,146,-98.84,495M
514,QKC,34,-96.31,253M
519,BUSD,115,-12.96,2053M
520,CBK,1574,-93.48,227M
521,VAI,360,-92.6,754M
523,META,45,-89.12,1142M
524,CRE,84,-90.2,23372M
526,PNG,1885,-97.91,1373M
528,OXT,103,-86.44,915M
529,TRU,102,-92.64,941M
530,WELSH,95,-12,401M
532,WNXM,13082,-45.25,159M
533,VIC,388,-78.73,679M
534,ZEPH,5231,-53.03,203M
535,ZCX,703,-98.3,224M
536,AERO,65,-20.71,7338M
539,PLANET,13,-30.68,4568M
540,BETA,345,-97.04,1004M
542,MAP,27,-87.92,322M
543,AERGO,57,-69.37,356M
544,LINA,30,-95.7,1501M
545,ENQAI,94,-15.01,219M
550,CAW,16,-27.59,253M
551,SPACE,3754,-23.18,202M
554,ZKF,25,-69.98,1505M
555,BANANA,3476,-11.28,335M
556,ZTX,39,-12.97,233M
558,VELO,25,-49.54,5034M
559,DOG,42,-85.96,395M
560,MPLX,90,-78.3,115M
561,MELD,29,-32.71,171M
564,ATA,236,-93.42,685M
565,XCHNG,20,-28.1,229M
566,TURBO,30,-65.87,4312M
567,COMBO,544,-81.54,690M
568,CHEQ,72,-86.05,124M
569,NIZA,40,-68.39,210M
571,$GROK,30,-62.49,2084M
572,ARPA,27,-73.57,2362M
574,ALU,46,-79.05,509M
575,BSW,210,-93.5,1203M
576,ALCX,206620,-98.46,510M
577,ETN,21,-98.19,131M
579,XCAD,906,-82.56,884M
580,DIONE,75,-5.48,267M
581,CLORE,28,-22.61,389M
582,VRTX,52,-37.24,465M
583,LIT,1331,-89.86,1896M
587,GEAR,31,-20.3,186M
588,TOKEN,62,-12.18,3330M
589,FLM,159,-92.67,1485M
590,AIDOGE,11,-72.73,4492M
593,LEVER,52,-56.85,2506M
594,FI,23,-27.74,177M
595,FUN,19,-96.82,494M
597,SIDUS,19,-96.8,192M
599,ROUTE,1908,-77.36,171M
603,SOLO,655,-97.59,308M
604,OSETH,354535,-2.57,142M
605,DIA,573,-90.16,1149M
609,UNFI,4362,-81.84,1708M
610,DNX,139,-47.44,233M
611,XCN,18,-98.79,2512M
612,IDEX,94,-91.92,1618M
614,ERN,7386,-95.88,481M
615,SBD,1902,-74.92,1233M
617,ALEPH,88,-62.61,280M
619,AITECH,16,-15.51,953M
621,ORN,2925,-93.95,1419M
622,AIT,91,-20.23,192M
624,SDAO,662,-89.83,259M
626,TT,52,-89.19,178M
628,FCT,44,-83.65,4190M
631,SAMO,24,-93.96,450M
635,CEEK,119,-94.23,997M
637,DEP,79,-96.79,176M
638,UPP,41,-71.76,26734M
639,UNIBOT,23698,-75.59,468M
641,FRONT,671,-90.18,1111M
642,REEF,57,-95.64,7234M
643,LISUSD,200,-50.17,167M
644,FLC,36,-24.39,408M
645,IRIS,30,-87.52,159M
647,MDT,17,-44.47,6828M
649,CLV,188,-96.27,1610M
650,CRU,17924,-98.94,136M
653,MIM,104,-4.53,115M
654,CAH,3074,-1.14,122M
655,TARA,70,-79.91,106M
656,WHALES,441,-30.61,762M
657,OPUL,756,-98.22,243M
660,CPOOL,255,-95.21,211M
664,GRS,274,-76.51,838M
665,GHST,308,-65.68,506M
666,PALM,78,-14.94,144M
669,FORWARD,23,-41.68,133M
672,EURC,135,-19.33,218M
673,AXGT,44,-20.45,987M
674,TSUKA,16,-66.9,186M
676,WAN,984,-97.35,241M
681,DATA,21,-68.45,475M
682,MOC,52,-76.1,6132M
683,TYBG,54,-23.35,123M
684,FOX,165,-94.94,271M
685,SUSD,245,-59.14,263M
686,SHX,56,-83.28,126M
687,TENET,35,-53.21,368M
688,BEL,999,-91.61,415M
691,KMD,1154,-96.93,253M
692,PICA,29,-60.86,125M
693,AA,1189536,-58.11,791M
694,ASD,326,-97.96,260M
695,WAGMIGAMES,40,-93.5,234M
697,AHT,39,-74.07,3396M
698,PNDC,30,-82.19,122M
703,AQT,1537,-88.42,4378M
706,IRON,1700,-86.41,104M
709,KATA,91,-80.32,211M
710,WIFI,50,-67.96,113M
711,FIDA,1877,-97.89,1227M
712,KEY,43,-81.78,1350M
715,FORTH,18047,-97.53,317M
718,BOSON,536,-92.48,248M
720,3ULL,11,-52.17,129M
721,RLY,140,-99.33,184M
722,GHX,92,-92.14,106M
723,PROPC,383,-12.79,168M
724,WOJAK,11,-38.72,465M
725,TDROP,61,-93.1,118M
726,GRAIL,464322,-46.81,324M
727,VLX,57,-96.85,132M
731,VEC,5806,-33.71,227M
735,LTO,90,-88.21,346M
736,XETA,15,-85.59,240M
737,MXC,13,-86.15,534M
739,NEXT,45,-6.19,448M
740,INSP,36,-36.4,160M
741,LEASH,452843,-90.82,508M
742,SNS,28,-69.41,280M
745,HARAMBE,47,-9.58,692M
746,MLT,73,-59.33,231M
746,CAGA,21,-64.58,325M
748,TAKI,29,-87.71,329M
748,EVMOS,684,-98.69,118M
748,FAR,22,-41.13,759M
748,BOB,22,-71.25,1640M
749,SILLY,16,-73.62,1988M
749,WING,24954,-95.78,395M
750,DERC,824,-95.62,120M
750,GSWIFT,79,-1.62,126M
